datetime,C/A,Unit,SCP,Station,Line Name,Division,Description,Entries,Exits,EntVal,ExtVal,Valid
12/23/2017 3:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,57955,28852,0,0,1
12/23/2017 7:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,57971,28857,16,5,1
12/23/2017 11:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58015,28873,44,16,1
12/23/2017 15:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58043,28899,28,26,1
12/23/2017 19:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58078,28931,35,32,1
12/23/2017 23:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58088,28960,10,29,1
12/24/2017 3:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58091,28969,3,9,1
12/24/2017 7:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58100,28971,9,2,1
12/24/2017 11:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58130,28986,30,15,1
12/24/2017 15:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58178,29001,48,15,1
12/24/2017 19:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58204,29034,26,33,1
12/24/2017 23:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58225,29056,21,22,1
12/25/2017 3:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58230,29060,5,4,1
12/25/2017 7:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58240,29062,10,2,1
12/25/2017 11:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58257,29074,17,12,1
12/25/2017 15:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58285,29090,28,16,1
12/25/2017 19:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58310,29113,25,23,1
12/25/2017 23:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58325,29131,15,18,1
12/26/2017 3:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58329,29136,4,5,1
12/26/2017 7:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58428,29147,99,11,1
12/26/2017 11:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58590,29173,162,26,1
12/26/2017 15:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58665,29205,75,32,1
12/26/2017 19:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58788,29288,123,83,1
12/26/2017 23:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58809,29340,21,52,1
12/27/2017 3:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,58813,29353,4,13,1
12/27/2017 7:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59034,29361,221,8,1
12/27/2017 7:54,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59167,29363,133,2,1
12/27/2017 8:22,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59230,29365,63,2,1
12/27/2017 11:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59367,29376,137,11,1
12/27/2017 15:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59479,29420,112,44,1
12/27/2017 19:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59559,29522,80,102,1
12/27/2017 23:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59578,29587,19,65,1
12/28/2017 3:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59584,29599,6,12,1
12/28/2017 7:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59677,29610,93,11,1
12/28/2017 11:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59893,29637,216,27,1
12/28/2017 15:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,59972,29684,79,47,1
12/28/2017 19:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,60044,29814,72,130,1
12/28/2017 23:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,60070,29864,26,50,1
12/29/2017 3:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,60075,29878,5,14,1
12/29/2017 7:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,60243,29885,168,7,1
12/29/2017 11:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,60606,29906,363,21,1
12/29/2017 15:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,60702,29960,96,54,1
12/29/2017 19:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,60783,30051,81,91,1
12/29/2017 23:00,N343,R019,00-00-06,JAMAICA 179 ST,F,IND,REGULAR,60816,30102,33,51,1
